gene,scores,log2FC,pvalue,padj,is_zinc
ATP2B1,23.11212,1.1283324,3.4973467139639846e-118,1.405714794843899e-115,False
SIPA1L3,22.985216,1.6518914,6.55244899024563e-117,2.5931568896165935e-114,False
P2RY8,22.930225,1.120928,2.321278368998749e-116,9.11642210139295e-114,False
USP34,22.8728,1.1365156,8.668593240699633e-116,3.3786498867235965e-113,False
SPIDR,22.867235,1.6069477,9.847981192676247e-116,3.809465687224117e-113,False
KMT2C,22.845068,1.2107655,1.6360391501246937e-115,6.281413596687705e-113,False
MAP3K5,22.830353,1.95494,2.2910362883497993e-115,8.73105444170522e-113,False
PDE7A,22.744736,1.2957869,1.6179040752594121e-114,6.120435945878399e-112,False
EXOC4,22.717424,1.3879267,3.013647438347251e-114,1.12352270585572e-111,False
CDC42SE2,22.683718,0.83536243,6.486953990152247e-114,2.4010130135636892e-111,False
BTBD9,22.682947,1.7890617,6.60152910727923e-114,2.4259676393664417e-111,False
ARL15,22.665949,1.8711988,9.713242063405135e-114,3.544162253035939e-111,False
ITFG1,22.662521,1.4236773,1.049932155932944e-113,3.8040077153829646e-111,False
KMT2E,22.651333,0.6982778,1.353524435696169e-113,4.8696591026361194e-111,False
NCOA2,22.523235,1.5105567,2.4575270305350185e-112,8.659921278559289e-110,False
MAP3K1,22.463764,1.2818295,9.388608022374819e-112,3.285885071667617e-109,False
OSBPL8,22.46172,1.0603107,9.831056165973241e-112,3.41748768666886e-109,False
ARIH1,22.327974,1.6432092,1.976843872069966e-110,6.780310902017042e-108,False
SNX29,22.192614,1.2542984,4.047668051699632e-109,1.3700291179200177e-106,False
KDM4C,22.157429,1.2774113,8.846116541330336e-109,2.974607868093877e-106,False
CYRIB,22.13684,1.0576636,1.3969036195612483e-108,4.666746585661501e-106,False
WWOX,22.06486,1.5936092,6.878154564856336e-108,2.2396664307134732e-105,False
NIPBL,21.974823,1.05339,5.014927272753792e-107,1.622691687601491e-104,False
SOS1,21.943932,1.8251929,9.896724763989667e-107,3.1822918478608774e-104,False
FOXO1,21.882605,1.7633204,3.80482712646135e-106,1.2158431428707052e-103,False
EML4,21.83672,0.9820212,1.0395501105054794e-105,3.3014058077336977e-103,False
