names,scores,logfoldchanges,pvals,pvals_adj
MT2A,3.9317565,0.6333332,8.432747315541659e-05,0.007733475648662875
MT1X,2.9575768,0.753964,0.0031006747681395757,0.1403021244250175
SLC39A7,2.1638281,0.95870924,0.030477541118636185,0.7762418492433636
MT1F,1.9796973,1.0447195,0.04773754163555447,1.0
SLC39A6,1.6375546,0.79781765,0.10151462734506941,1.0
MT1E,1.12771,1.1785946,0.2594424050823525,1.0
SLC39A1,0.8492015,0.23165648,0.3957691682177137,1.0
SLC39A10,0.8292491,0.2545274,0.4069634859679807,1.0
SLC39A4,0.6483556,-0.028379526,0.5167549603008739,1.0
SLC39A9,0.4547882,0.24348757,0.6492616168761419,1.0
SLC39A11,0.38888565,0.39702442,0.697360739554212,1.0
SLC30A9,0.29573014,-0.47541776,0.7674361671994587,1.0
SLC39A14,0.23098378,0.26899686,0.8173274013500831,1.0
SLC30A1,-0.15749444,-1.333532,0.8748551831345619,1.0
