scope,signature,n_pairs,median_CXCR3-,median_CXCR3+,median_diff,wilcoxon_p
pooled_both_datasets,unsigned,28,0.12813979387283325,0.1271059513092041,0.010051660239696503,0.01563260704278946
pooled_both_datasets,signed,28,-0.016333179415336678,-0.013853475817346146,-0.0016772151991192785,0.831373319029808
