names,scores,logfoldchanges,pvals,pvals_adj
MT2A,9.860732,1.4642043,6.159869854167448e-23,1.7434234576031683e-20
MT1X,6.5147233,1.5328931,7.282388772065862e-11,5.301367268985745e-09
MT1F,3.2484462,1.3240025,0.001160370951635385,0.024473239907247066
SLC39A7,3.0678186,0.82852626,0.002156274869050218,0.04229520763257698
SLC39A1,2.399777,0.8225835,0.016405069952671006,0.24268428370057843
SLC39A6,2.2725406,0.63060623,0.023053880045875094,0.32328705231934096
MT1E,1.7768033,1.9747213,0.07560061612243471,0.8482737087680883
SLC30A9,1.197465,0.1560285,0.23112538961036955,1.0
SLC39A9,0.7116365,0.23165594,0.4766899011249197,1.0
SLC30A1,0.6280137,0.7676342,0.5299949742325273,1.0
SLC39A11,0.5792231,0.57156104,0.5624386655189727,1.0
SLC39A10,0.37022057,-0.14164063,0.711218158724626,1.0
SLC39A14,0.13853133,0.3636765,0.8898205094540685,1.0
