group4,mean,std,count,sem
HC-PB,6.772712250744361,5.294369521344497,8,1.8718422953250347
HC-CSF,23.86598382838039,8.973884786933425,8,3.1727473932137102
MS-PB,9.793571718189659,5.892551298460066,16,1.4731378246150164
MS-CSF,29.415326340238092,8.89654054001585,17,2.1577280205338196
