tissue,signature_label,p_full,loo_p_min,loo_p_max,loo_worst_patient,loo_worst_group,loo_all_significant,n_tukey_excluded,tukey_excluded_patients,p_tukey,tukey_significant
CSF,signed,0.0013863724916988133,0.00031260205173248655,0.001890026237852325,CSF_32,HC,True,1,['PTC45044_CSF'],0.001890026237852325,True
PB,signed,0.04698788625562081,0.020532556688163096,0.11007281048470981,PST95809_PB,HC,False,0,[],0.04698788625562081,True
