names,scores,logfoldchanges,pvals,pvals_adj
MT2A,10.581648,0.65716183,3.625252400158696e-26,4.844467155412068e-24
MT1X,9.755143,1.0314349,1.7535355380084729e-22,1.9073128194388987e-20
MT1F,6.6681633,1.040149,2.590248021260431e-11,1.1207996652464816e-09
MT1E,5.3363304,1.780177,9.484651545570655e-08,2.5792805949938735e-06
SLC39A7,3.8585603,0.43301508,0.00011405687340907925,0.001826329916946875
SLC30A9,3.2231178,0.14472638,0.0012680334526471622,0.01607633934741035
SLC39A6,3.1370902,0.40800598,0.001706336870550035,0.020876960598349155
SLC39A10,3.082887,0.051191352,0.0020500296458781774,0.024613751510184474
SLC39A9,2.3792784,0.10922883,0.017346570094147494,0.16045421398843945
SLC39A1,1.7097884,0.040813528,0.0873050033312363,0.6327183844746366
SLC39A4,1.3344722,0.043157797,0.18204915528165577,1.0
SLC39A14,0.776612,0.59500456,0.43738773086389926,1.0
SLC39A11,0.3806343,-0.13775617,0.7034746133294913,1.0
SLC30A1,0.33903363,0.116278104,0.7345843926772251,1.0
