names,scores,logfoldchanges,pvals,pvals_adj
MT2A,7.132481,0.4847154,9.857560353423833e-13,1.4785765745275494e-10
MT1X,6.0478992,0.513605,1.4674686186495989e-09,1.0544458867637508e-07
SLC39A7,3.7690685,0.7185817,0.00016385791109777584,0.0031450059457882535
MT1F,3.5238993,0.5282706,0.00042524565188548866,0.0071754799272563535
MT1E,3.0787709,0.67436075,0.002078564769509341,0.028245641907479285
SLC39A11,2.877825,0.17043838,0.004004271898618013,0.04927332710837109
SLC30A9,2.4350717,0.08046146,0.014888836000390168,0.14794663205332914
SLC39A6,2.2857513,0.26006794,0.022268814413260837,0.2075142119060756
SLC39A1,1.7326609,0.15407941,0.08315596095268447,0.6228283416936542
SLC39A10,1.7074716,-0.069310546,0.08773442678060239,0.6505852967726192
SLC39A4,1.4919741,0.16237536,0.135705940078769,0.9242519466736175
SLC30A1,1.4535195,0.5614368,0.1460795881465914,0.9803682038828377
SLC39A9,1.3760656,-0.0005598939,0.16880131494223638,1.0
SLC39A14,0.66827285,0.32317016,0.5039594574573065,1.0
